   47:7   error    Hardcoded color '#f39c12' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   50:7   error    Hardcoded color '#667eea' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   51:7   error    Hardcoded color '#764ba2' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   52:7   error    Hardcoded color '#f093fb' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   53:7   error    Hardcoded color '#f5576c' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   54:7   error    Hardcoded color '#4facfe' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   55:7   error    Hardcoded color '#00f2fe' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   56:7   error    Hardcoded color '#43e97b' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   59:7   error    Hardcoded color '#00f5ff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   60:7   error    Hardcoded color '#ff00ff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   62:7   error    Hardcoded color '#00ff00' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   63:7   error    Hardcoded color '#ff0080' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   64:7   error    Hardcoded color '#8000ff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   65:7   error    Hardcoded color '#00ffff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
